Gender,Male,Minority,Age,GPA,Verbal,Math,TotSAT,SSH.total,BStotal,CTA.tot,PTTtotal,PTT.factor1,PTT.factor2,PTT.factor3,Perf.CM,Perf.D,Perf.PE,Perf.PC,Perf.PS,Perf.O,harvey.negproj,harvey.achexp,harvey.parinf,harvey.org,stoeberORG,stoeberCMD,stoeberPEC,stoeberPS,Harvey4f
1,0,1,22,3.2, , ,900,17,20,48,57,29,17,11,23,14,15,10,21,19,34,24,25,19,19,34,25,21,1
1,0,1,20,2.6,400,500,900,28,20,45,39,25,10,4,19,8,13,8,24,28,25,26,21,28,28,25,21,22,2
1,0,1,19,2.4,400,500,900,19,23,48,32,16,11,5,19,10,13,7,17,22,27,19,20,22,22,27,20,16,2
2,1,1,20,3.8,400,500,900,20,11,33,51,28,15,8,23,10,18,11,20,20,29,24,29,20,20,29,29,21,1
2,1,1,23,2.5,400,500,900,16,10,18, , ,10,8,19,9,15,7,23,24,25,26,22,24,24,25,22,22,2
2,1,1,21,2.4,420,490,910, , ,39,44,25,14,5, , , , , , , , , , , , , , , 
2,1,1,25,3.2,460,450,910,25,10,31,38,21,11,6,20,8,11,8,23,18,25,26,19,18,18,25,19,22,2
1,0,1,19,2,450,460,910,25,15,37,46,24,17,5,22,8,16,11,20,23,27,23,27,23,23,27,27,20,1
1,0,1,21,3.201,420,490,910,21,21, ,59,32,14,13,14,8,8,4,19,27,20,21,12,27,27,20,12,17,2
1,0,1,24,2.565,500,510,910,26,20,34,50,32,12,6,21,10,13,6,24,24,29,26,19,24,24,29,19,22,2
1,0,1,21,2.7,480,420,910,23,22,53,59,34,15,10,21,8,11,8,16,21,27,18,19,21,21,27,19,14,2
1,0,1,21,3.5,440,480,920,24,31,48,54,35,13,6,24,10,13,7,24,30,29,29,20,30,30,29,20,25,3
1,0,1,26,3,420,500,920,23,19,51,68,35,21,12,22,12,19,13,19,24,31,22,32,24,24,31,32,18,1
1,0,1,19,3,500,420,920,19,14,42,60,33,17,10,26,12,23,16,22,23,34,26,39,23,23,34,39,22,4
2,1,1,21,2.8,470,450,920,24,10,26,42,27,11,4,16,9,15,9,24,24,22,27,24,24,24,22,24,23,2
2,1,1,21,3.2,440,480,920,23,10,23,51,27,16,8,32,10,19,16,28,24,38,32,35,24,24,38,35,28,4
1,0,1,20,3.3,600,320,920,24,13,23,48,27,14,7,12, ,13,5,20,23, ,21,18,23,23, ,18,17, 
2,1,0,21,3.6,460,460,920,15,39,58,56,29,16,11,45,20,25,20,35,30,60,40,45,30,30,60,45,35,4
1,0,0,21,3,450,470,920,14,35,46,54,27,19,8,33,15, ,13,27,21,45,30, ,21,21,45, ,26, 
2,1,1,19,2.2,460,460,920,26,15, , , ,17,8,31,15,20,14,28,23,42,32,34,23,23,42,34,28,4
1,0,1,20,2.7, , ,920,10,21,58,56,28,17,11, ,8,18,9,22,29, ,25,27,29,29, ,27,22, 
1,0,1,19,3,425,500,925,20,11,29,53,28,15,10,29, ,18,12,29,23, ,33,30,23,23, ,30,29, 
1,0,1,19,3.5,420,510,930,29,18,37,44,25,12,7,33,11,12,8,25,15,41,28,20,15,15,41,20,25,1
1,0,1,22,3.333,390,540,930,25,19,52,58,34,13,11,29,12,13,11,27,30,37,31,24,30,30,37,24,27,3
1,0,1,20,3.65,320,520,940,18,14,40,55,28,19,8,24,16,18,13,30,22,36,34,31,22,22,36,31,30,4
1,0,1,20,3.76,480,460,940,25,17,31,32,16,8,8,13,10,12,4,28,27,22,29,16,27,27,22,16,24,2
1,0,1,22,3.2,540,400,940,24,10,26,67,36,16,15,20,7,5,4,24,30,24,27,9,30,30,24,9,23,2
1,0,1,21,3.3,520,420,940,20,20,31,50,25,18,7,23,8,15,11,23,24,28,26,26,24,24,28,26,22,1
1,0,1,20,2.7,520,420,940,27,10,32,45,26,14,5,17,8,13,7,23,27,23,25,20,27,27,23,20,21,2
1,0,1,21,2.7,510,430,940,25,11, ,42,26,9,7,16,11,13,4,22,24,25,24,17,24,24,25,17,20,2
1,0,1,21,3.67,500,440,940,13,15,34,59,36,13,10,37,11,25,18,30,30,43,35,43,30,30,43,43,30,4
1,0,1,18,2,440,300,940,18,36,53,67,39,18,10,30,14,15,13,22,18,40,26,28,18,18,40,28,23,1
1,0,1,19,2.5, , ,940,27,15,46,63,35,18,10,21,9,16,7,19,25,28,21,23,25,25,28,23,17,2
2,1,1,21,2.7,400,550,950,21,11,31,41,26,10,5,25,8,18,8,34,24,29,38,26,24,24,29,26,33,3
1,0,1,20,3.022,500,450,950,21,27,46,52,33,11,8,32,11,18,12,32,23,39,36,30,23,23,39,30,32,4
2,1,1,20,3.2,500,450,950,28,10,21,41,21,11,9,23,8,15,10,28,24,29,30,25,24,24,29,25,26,3
2,1,1,20, ,500,450,950,16,14,45, ,28,17, ,13,16,24,19,18,18,26,21,43,18,18,26,43,18,1
1,0,1,20,1.9,460,490,950,21,18,32,55,35,9,11, ,8,17,4,27,24, ,29,21,24,24, ,21,25, 
1,0,1,20,2.715,450,500,950,15,34,59,69,41,13,15,27,6,18,5,25,30,30,28,23,30,30,30,23,23,3
1,0,1,20,2.7,480,470,950,20,10,26,55,26,17,12,10,7,11,5,18,24,16,19,16,24,24,16,16,15,2
1,0,1,19,2.98,450,500,950,19,12,36,45,24,14,7,13,5,12,6,29,16,15,32,18,16,16,15,18,28,2
2,1,1,20,2.7,420,530,950,13,14, ,32,15,11,6,22,9,16,8,18,18,29,20,24,18,18,29,24,18,1
2,1,1,19,2.3,450,500,950,25,16,30,40,19,12,9,34,11,16,12,27,24,41,31,28,24,24,41,28,27,4
1,0,1,20, ,480,480,960,21,18,33,62,33,19,10,31,16,18,12,27,27,43,31,30,27,27,43,30,28,4
1,0,1,19,3.7,520,440,960,25,17,32,51,31,14,6,17,7,20,13,21,22,22,23,33,22,22,22,33,19,1
1,0,1,22,2.7, , ,960,18,21,56,69,34,20,15,33,15,18,12,27, ,44,31,30, , ,44,30,29, 
2,1,1,22,3.1,490,470,960,19,15, ,65,38,18,9,34,10,21,5,28,25,41,31,26,25,25,41,26,27,4
2,1,1,25,2.98,400,560,960,19,13, ,54,28,16,10,18,12,10,12,27,26,25,32,22,26,26,25,22,28,3
2,1,1,21,3,440,520,960,23,25,41,64,39,17,8,23,11,13,4,29,27,29,34,17,27,27,29,17,30,3
2,1,1,20,2.3,490,470,960,19,12,30,45,23,17,5,31,15,18, ,26,24,41,31, ,24,24,41, ,27, 
2,1,1,20,3.6,480,480,960,24,12,27,35,21,10,4,21,9,13,6,25,24,26,29,19,24,24,26,19,25,2
